mandi_id,direction_accuracy
anekal_apmc,0.7176470588235294
bangalore_yeshwanthpur,0.7142857142857143
bangarpet_apmc,0.7719298245614035
channapatna_apmc,0.7345132743362832
chickballapur_apmc,0.7608695652173914
doddaballapur_apmc,0.6976744186046512
hoskote_apmc,0.7272727272727273
kanakapura_apmc,0.7207792207792207
kolar_apmc,0.7204968944099379
kunigal_apmc,0.7478991596638656
magadi_apmc,0.7714285714285715
malur_apmc,0.7023809523809523
nelamangala_apmc,0.7151162790697675
ramanagara_apmc,0.7318840579710145
sidlaghatta_apmc,0.7321428571428571
