mandi_id,direction_accuracy
anekal_apmc,0.7202380952380952
bangalore_yeshwanthpur,0.7563025210084033
bangarpet_apmc,0.7194244604316546
channapatna_apmc,0.7402597402597403
chickballapur_apmc,0.740506329113924
doddaballapur_apmc,0.7419354838709677
hoskote_apmc,0.7230769230769231
kanakapura_apmc,0.7572254335260116
kolar_apmc,0.7167630057803468
kunigal_apmc,0.696551724137931
magadi_apmc,0.7272727272727273
malur_apmc,0.7295081967213115
nelamangala_apmc,0.7195121951219512
ramanagara_apmc,0.75
sidlaghatta_apmc,0.7230769230769231
